epoch_expected_loss_change,valid_accuracy
-0.00016520548600635555,0.81906941266209
-1.7431579298900177e-05,0.8594965675057208
-8.318760126305892e-06,0.8712433257055683
-5.822764298997198e-06,0.8733790999237223
5.932203324270424e-06,0.8691075514874141
-4.086656055307289e-06,0.8692601067887109
-5.120819522113365e-06,0.8840579710144928
7.12467848748652e-06,0.8874141876430206
-6.233074227736367e-06,0.8858886346300534
-9.707218528174875e-06,0.8831426392067124
-2.2478676583976318e-05,0.8826849733028223
1.4466018155372927e-06,0.8903127383676582
1.503140232500572e-05,0.8857360793287566
1.199586746607275e-05,0.888329519450801
1.0397311452093831e-06,0.8836003051106026
2.767105754521947e-06,0.8851258581235698
-2.953284495578856e-06,0.8765827612509535
