epoch_expected_loss_change,valid_accuracy
-0.00011657883033648024,0.8576659038901602
-7.2827110831759205e-06,0.8662090007627765
-4.4058078691343587e-07,0.8794813119755912
1.3420266633327183e-05,0.8655987795575897
4.427405147047117e-06,0.8799389778794813
9.282716346180066e-06,0.8810068649885584
9.942803861192605e-06,0.87627765064836
2.386949547498118e-06,0.8784134248665141
1.6024952445434985e-05,0.8869565217391304
1.0865995419436248e-05,0.8799389778794813
-8.565532845472677e-06,0.8784134248665141
6.047154877444542e-06,0.8823798627002288
1.0638878810897623e-06,0.8868039664378338
-1.6406117848923794e-05,0.887719298245614
-8.679275622533707e-06,0.8903127383676582
-3.0164236903146433e-06,0.8857360793287566
